 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G	BP	RP
    6814.  8.39975 -3.750252   4.361076800 0.10E+01  15.529  14.523  13.932  13.896  14.651  14.508  14.401  14.201  14.271  14.108  13.994  13.816  13.870  13.729  13.691  13.625  13.659  -0.105  14.141  14.636  14.247  13.979  13.707  13.444  13.231  13.258  13.239	14.140	14.348	13.777
    6295.  8.40112 -3.889342   5.353533400 0.10E+01  16.645  15.320  14.507  14.455  15.081  14.899  14.769  14.531  14.616  14.425  14.287  14.072  14.141  13.972  13.927  13.838  13.872  -0.094  14.667  15.057  14.583  14.264  13.942  13.614  13.372  13.373  13.326	14.448	14.705	14.020
    5787.  8.40293 -4.037111   6.540466400 0.10E+01  18.073  16.374  15.212  15.134  15.581  15.351  15.193  14.912  15.014  14.790  14.625  14.380  14.461  14.255  14.200  14.084  14.120  -0.113  15.299  15.548  14.972  14.593  14.213  13.811  13.535  13.509  13.432	14.799	15.118	14.302
    5282.  8.40527 -4.198300   8.457601600 0.10E+01  19.954  17.867  16.187  16.069  16.180  15.885  15.690  15.360  15.481  15.219  15.025  14.754  14.843  14.590  14.524  14.377  14.414  -0.166  16.129  16.134  15.428  14.983  14.535  14.043  13.728  13.682  13.566	15.210	15.601	14.637
    4775.  8.40739 -4.375589  11.005986600 0.10E+01  22.097  19.778  17.588  17.451  16.930  16.523  16.271  15.881  16.025  15.717  15.490  15.194  15.286  14.978  14.900  14.716  14.755  -0.253  17.300  16.860  15.958  15.433  14.909  14.316  14.019  14.014  13.801	15.684	16.168	15.026
    4515.  8.40815 -4.473541  12.113694600 0.10E+01  23.299  20.826  18.388  18.253  17.353  16.869  16.578  16.153  16.311  15.975  15.730  15.423  15.516  15.180  15.095  14.892  14.932  -0.285  17.985  17.267  16.235  15.667  15.103  14.474  14.280  14.314  14.015	15.928	16.466	15.228
    3986.  8.40919 -4.691309  13.964427100 0.10E+01  24.649  22.646  19.899  19.773  18.217  17.564  17.194  16.686  16.875  16.480  16.197  15.869  15.961  15.581  15.485  15.261  15.293  -0.285  19.309  18.090  16.779  16.121  15.492  14.969  15.119  15.281  14.634	16.402	17.040	15.627
    3728.  8.40952 -4.807646  14.700199100 0.10E+01  25.048  23.379  20.525  20.408  18.581  17.861  17.467  16.919  17.122  16.701  16.402  16.065  16.156  15.776  15.680  15.464  15.481  -0.232  19.844  18.435  17.018  16.324  15.686  15.345  15.638  15.892  14.980	16.616	17.285	15.821
    3470.  8.40977 -4.932384  15.376818700 0.10E+01  25.395  24.027  21.116  21.010  18.924  18.148  17.734  17.151  17.365  16.921  16.609  16.263  16.354  16.007  15.915  15.720  15.714  -0.156  20.352  18.762  17.254  16.536  15.922  15.802  16.163  16.478  15.297	16.846	17.524	16.049
    3217.  8.40998 -5.063982  15.994477900 0.10E+01  25.718  24.584  21.635  21.541  19.230  18.408  17.980  17.368  17.592  17.133  16.810  16.456  16.548  16.286  16.201  16.036  16.004  -0.047  20.797  19.054  17.474  16.753  16.214  16.315  16.725  17.114  15.615	17.093	17.746	16.320
    2943.  8.41016 -5.219355  16.602971200 0.10E+01  26.083  25.148  22.161  22.080  19.544  18.686  18.250  17.611  17.843  17.378  17.048  16.687  16.779  16.682  16.607  16.467  16.407   0.093  21.251  19.356  17.720  17.021  16.633  16.923  17.311  17.785  15.935	17.406	17.994	16.696
    2679.  8.41030 -5.382557  17.137059700 0.10E+01  26.454  25.615  22.577  22.506  19.834  18.949  18.507  17.847  18.086  17.629  17.294  16.928  17.021  17.187  17.122  16.993  16.905   0.263  21.618  19.638  17.959  17.309  17.173  17.591  17.887  18.497  16.248	17.757	18.237	17.161
    2506.  8.41038 -5.498734  17.468966800 0.10E+01  26.714  25.916  22.868  22.804  20.030  19.129  18.683  18.010  18.253  17.809  17.473  17.107  17.201  17.588  17.529  17.400  17.288   0.387  21.873  19.829  18.125  17.519  17.601  18.099  18.323  19.056  16.488	18.012	18.410	17.519
