 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G
    5326.  7.97165 -3.916866   6.101536500 0.10E+01  18.862  16.854  15.343  15.239  15.465  15.182  14.993  14.666  14.786  14.526  14.334  14.064  14.152  13.901  13.836  13.690  13.727  -0.174  15.340  15.422  14.733  14.291  13.847  13.357  13.040  12.988  12.882	14.449
    4825.  7.97822 -4.095211   8.446157000 0.10E+01  20.961  18.704  16.656  16.521  16.200  15.822  15.584  15.199  15.341  15.035  14.810  14.516  14.607  14.301  14.223  14.040  14.079  -0.270  16.437  16.136  15.275  14.754  14.232  13.635  13.299  13.259  13.080	14.914
    4569.  7.98097 -4.192529  10.221684400 0.10E+01  22.191  19.793  17.475  17.339  16.627  16.178  15.905  15.485  15.640  15.307  15.064  14.758  14.850  14.514  14.429  14.227  14.267  -0.318  17.127  16.549  15.566  15.001  14.438  13.791  13.507  13.509  13.256	15.156
    4305.  7.98309 -4.298244  11.847962500 0.10E+01  23.265  20.855  18.315  18.182  17.081  16.545  16.230  15.771  15.941  15.579  15.317  14.999  15.092  14.727  14.635  14.414  14.454  -0.346  17.854  16.983  15.857  15.246  14.643  13.972  13.830  13.865  13.510	15.394
    4040.  7.98476 -4.410369  13.298669000 0.10E+01  23.922  21.820  19.119  18.991  17.538  16.910  16.553  16.050  16.237  15.843  15.562  15.234  15.326  14.937  14.839  14.606  14.643  -0.351  18.558  17.418  16.143  15.484  14.846  14.224  14.270  14.375  13.837	15.593
    3769.  7.98586 -4.532155  14.464641300 0.10E+01  24.391  22.674  19.841  19.722  17.947  17.238  16.849  16.303  16.504  16.081  15.782  15.444  15.535  15.137  15.037  14.805  14.831  -0.305  19.175  17.804  16.401  15.700  15.043  14.580  14.797  15.007  14.205	15.736
    3498.  7.98679 -4.662286  15.596263900 0.10E+01  24.763  23.412  20.506  20.400  18.321  17.543  17.129  16.542  16.758  16.308  15.993  15.645  15.737  15.360  15.262  15.050  15.053  -0.223  19.745  18.158  16.645  15.914  15.269  15.047  15.376  15.667  14.569	15.879
    3227.  7.98753 -4.803213  16.774056900 0.10E+01  25.110  24.039  21.102  21.008  18.670  17.831  17.399  16.774  17.002  16.531  16.204  15.847  15.939  15.640  15.551  15.371  15.344  -0.107  20.260  18.489  16.882  16.139  15.561  15.598  15.994  16.319  14.920	16.043
    2960.  7.98811 -4.953625  17.998544400 0.10E+01  25.464  24.629  21.663  21.585  18.994  18.102  17.656  16.996  17.235  16.755  16.417  16.053  16.144  16.005  15.926  15.778  15.722   0.043  20.742  18.794  17.108  16.381  15.950  16.193  16.583  17.026  15.249	16.236
    2707.  7.98858 -5.109488  19.269491500 0.10E+01  25.822  25.120  22.141  22.075  19.289  18.356  17.901  17.215  17.462  16.985  16.642  16.272  16.364  16.463  16.395  16.261  16.179   0.209  21.159  19.076  17.331  16.646  16.440  16.825  17.155  17.734  15.567	16.469
    2515.  7.98888 -5.237817  20.315629400 0.10E+01  26.117  25.498  22.523  22.472  19.511  18.555  18.095  17.393  17.645  17.182  16.837  16.466  16.560  16.906  16.843  16.707  16.602   0.349  21.480  19.291  17.511  16.877  16.912  17.350  17.605  18.314  15.817	16.677
