 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G	BP	RP
   18392.  8.07709 -1.806064   0.858733300 0.10E+01   8.903   9.268   9.699   9.757  10.943  10.971  11.003  11.015  11.014  11.017  11.075  11.188  11.227  11.153  11.178  11.319  11.354  -1.738  10.136  10.967  11.019  11.106  11.203  11.462  11.519  11.640  11.700	11.059	10.978	11.200
   17213.  8.08124 -1.925261   0.891429500 0.10E+01   9.154   9.498   9.901   9.957  11.094  11.111  11.133  11.135  11.141  11.141  11.193  11.317  11.356  11.261  11.286  11.423  11.460  -1.563  10.330  11.117  11.142  11.223  11.310  11.552  11.603  11.719  11.774	11.186	11.116	11.310
   16105.  8.08508 -2.044686   0.929949500 0.10E+01   9.414   9.734  10.109  10.161  11.248  11.254  11.266  11.256  11.270  11.266  11.312  11.448  11.487  11.369  11.393  11.527  11.565  -1.388  10.529  11.270  11.266  11.340  11.417  11.641  11.685  11.796  11.846	11.315	11.255	11.421
   15054.  8.08866 -2.165559   0.975338800 0.10E+01   9.685   9.979  10.321  10.369  11.409  11.401  11.403  11.379  11.401  11.394  11.433  11.580  11.618  11.477  11.500  11.629  11.669  -1.213  10.731  11.429  11.393  11.459  11.523  11.728  11.765  11.871  11.917	11.445	11.398	11.531
   13896.  8.09253 -2.308429   1.038757800 0.10E+01  10.021  10.268  10.560  10.603  11.598  11.578  11.568  11.526  11.557  11.542  11.572  11.730  11.765  11.597  11.619  11.743  11.782  -1.007  10.958  11.617  11.544  11.595  11.640  11.823  11.851  11.952  11.995	11.597	11.566	11.654
   12813.  8.09609 -2.453030   1.116211400 0.10E+01  10.357  10.518  10.755  10.793  11.764  11.733  11.712  11.658  11.694  11.672  11.691  11.862  11.891  11.696  11.716  11.836  11.874  -0.780  11.143  11.781  11.679  11.711  11.736  11.902  11.921  12.019  12.062	11.728	11.712	11.755
   11797.  8.09956 -2.600021   1.211591700 0.10E+01  10.746  10.812  10.983  11.015  11.962  11.922  11.888  11.823  11.864  11.830  11.837  12.008  12.030  11.817  11.834  11.944  11.979  -0.581  11.357  11.977  11.847  11.854  11.852  11.993  11.998  12.092  12.135	11.887	11.889	11.877
   10705.  8.10343 -2.772586   1.349417000 0.10E+01  11.286  11.245  11.325  11.348  12.267  12.215  12.168  12.088  12.133  12.082  12.070  12.215  12.228  12.012  12.023  12.109  12.139  -0.417  11.679  12.279  12.115  12.083  12.040  12.135  12.113  12.201  12.240	12.138	12.166	12.073
    9682.  8.10698 -2.950526   1.528798900 0.10E+01  11.905  11.742  11.714  11.726  12.641  12.578  12.520  12.424  12.470  12.397  12.365  12.452  12.452  12.264  12.263  12.312  12.334  -0.311  12.045  12.648  12.453  12.372  12.280  12.309  12.248  12.331  12.367	12.450	12.509	12.321
    8624.  8.11069 -3.155342   1.800080600 0.10E+01  12.708  12.376  12.208  12.207  13.119  13.040  12.972  12.853  12.900  12.800  12.744  12.734  12.735  12.592  12.577  12.581  12.606  -0.230  12.510  13.121  12.885  12.745  12.596  12.529  12.418  12.491  12.519	12.848	12.948	12.646
    7599.  8.11432 -3.378735   2.208580200 0.10E+01  13.783  13.184  12.832  12.814  13.677  13.571  13.487  13.330  13.386  13.255  13.170  13.061  13.086  12.962  12.934  12.898  12.930  -0.155  13.092  13.671  13.368  13.164  12.952  12.776  12.607  12.662  12.672	13.296	13.447	13.012
    6589.  8.11857 -3.630755   3.011271400 0.10E+01  15.468  14.371  13.717  13.676  14.384  14.226  14.111  13.897  13.972  13.799  13.676  13.482  13.542  13.391  13.350  13.274  13.308  -0.102  13.910  14.366  13.945  13.658  13.365  13.071  12.841  12.859  12.832	13.827	14.054	13.439
    6070.  8.12123 -3.775977   3.803455000 0.10E+01  16.675  15.244  14.346  14.287  14.853  14.652  14.511  14.255  14.346  14.142  13.992  13.764  13.839  13.654  13.605  13.504  13.539  -0.104  14.485  14.826  14.310  13.966  13.619  13.256  12.996  12.986  12.929	14.159	14.442	13.702
    5555.  8.12489 -3.933533   4.811052700 0.10E+01  18.286  16.449  15.143  15.054  15.409  15.154  14.981  14.678  14.788  14.547  14.369  14.111  14.196  13.968  13.909  13.778  13.814  -0.141  15.194  15.371  14.741  14.332  13.921  13.475  13.179  13.139  13.049	14.548	14.898	14.016
    5044.  8.12952 -4.106030   7.062219100 0.10E+01  20.335  18.146  16.286  16.159  16.083  15.750  15.535  15.177  15.309  15.025  14.815  14.532  14.622  14.342  14.271  14.105  14.143  -0.218  16.157  16.029  15.249  14.766  14.281  13.734  13.402  13.351  13.210	15.003	15.436	14.390
    4536.  8.13327 -4.294185  10.308972100 0.10E+01  22.656  20.218  17.840  17.704  16.900  16.434  16.153  15.729  15.886  15.551  15.306  14.998  15.091  14.753  14.668  14.464  14.504  -0.309  17.464  16.818  15.811  15.242  14.676  14.033  13.784  13.799  13.526	15.501	16.036	14.801
    4279.  8.13454 -4.396761  11.670905400 0.10E+01  23.581  21.203  18.633  18.501  17.334  16.783  16.461  15.999  16.170  15.807  15.544  15.226  15.318  14.954  14.862  14.642  14.681  -0.328  18.154  17.233  16.086  15.473  14.869  14.215  14.119  14.167  13.786	15.742	16.330	15.001
    4016.  8.13551 -4.507620  12.838257400 0.10E+01  24.184  22.127  19.404  19.277  17.777  17.137  16.774  16.269  16.457  16.062  15.781  15.452  15.544  15.158  15.060  14.830  14.866  -0.326  18.829  17.653  16.362  15.703  15.067  14.482  14.571  14.701  14.118	15.981	16.621	15.204
    3746.  8.13628 -4.629665  13.900012600 0.10E+01  24.627  22.945  20.101  19.983  18.174  17.459  17.066  16.518  16.720  16.297  15.998  15.659  15.751  15.359  15.260  15.034  15.056  -0.276  19.425  18.029  16.616  15.917  15.266  14.854  15.102  15.329  14.481	16.206	16.882	15.404
    3470.  8.13688 -4.763106  14.954072700 0.10E+01  24.998  23.660  20.750  20.644  18.546  17.764  17.348  16.760  16.976  16.526  16.212  15.864  15.955  15.593  15.497  15.294  15.291  -0.189  19.983  18.382  16.863  16.135  15.504  15.340  15.698  16.007  14.850	16.442	17.133	15.635
    3219.  8.13730 -4.894146  15.904630800 0.10E+01  25.321  24.232  21.293  21.198  18.864  18.028  17.597  16.975  17.202  16.735  16.409  16.053  16.145  15.862  15.775  15.602  15.573  -0.082  20.453  18.683  17.083  16.348  15.787  15.850  16.249  16.620  15.164	16.684	17.355	15.898
    2950.  8.13768 -5.045610  16.948011300 0.10E+01  25.679  24.816  21.839  21.760  19.185  18.301  17.857  17.203  17.441  16.965  16.630  16.267  16.358  16.240  16.163  16.019  15.961   0.066  20.920  18.988  17.315  16.598  16.188  16.453  16.842  17.295  15.488	16.982	17.589	16.256
    2695.  8.13798 -5.203086  17.966547500 0.10E+01  26.038  25.303  22.320  22.253  19.468  18.551  18.100  17.424  17.668  17.199  16.859  16.491  16.584  16.714  16.648  16.517  16.432   0.236  21.335  19.261  17.539  16.869  16.695  17.097  17.419  18.010  15.806	17.312	17.817	16.692
    2596.  8.13808 -5.268470  18.364631900 0.10E+01  26.187  25.498  22.498  22.442  19.579  18.653  18.200  17.516  17.762  17.300  16.959  16.590  16.683  16.936  16.873  16.742  16.645   0.305  21.476  19.369  17.632  16.986  16.932  17.379  17.660  18.306  15.938	17.456	17.912	16.891
    2501.  8.13818 -5.333433  18.756235800 0.10E+01  26.335  25.657  22.628  22.573  19.694  18.758  18.303  17.610  17.860  17.405  17.064  16.695  16.789  17.169  17.108  16.973  16.865   0.371  21.602  19.481  17.728  17.108  17.180  17.635  17.866  18.578  16.053	17.603	18.012	17.098
