 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G	BP	RP
   15808.  8.16501 -2.128179   0.673847300 0.10E+01   9.606   9.920  10.287  10.338  11.420  11.421  11.429  11.413  11.430  11.425  11.469  11.611  11.650  11.522  11.546  11.678  11.715  -1.338  10.706  11.442  11.424  11.496  11.569  11.789  11.831  11.941  11.990	11.475	11.420	11.575
   14765.  8.16800 -2.249779   0.727222400 0.10E+01   9.882  10.166  10.497  10.543  11.581  11.570  11.568  11.536  11.562  11.552  11.589  11.741  11.779  11.627  11.650  11.778  11.815  -1.161  10.905  11.601  11.552  11.614  11.672  11.873  11.908  12.012  12.059	11.605	11.563	11.682
   13624.  8.17122 -2.392713   0.801980700 0.10E+01  10.220  10.444  10.720  10.761  11.763  11.740  11.726  11.679  11.712  11.695  11.721  11.883  11.917  11.739  11.761  11.883  11.920  -0.950  11.116  11.782  11.698  11.743  11.781  11.962  11.987  12.088  12.132	11.750	11.724	11.797
   12558.  8.17420 -2.537268   0.893568400 0.10E+01  10.549  10.682  10.903  10.940  11.920  11.889  11.864  11.806  11.844  11.819  11.834  12.009  12.036  11.833  11.853  11.971  12.006  -0.719  11.290  11.937  11.828  11.854  11.872  12.036  12.052  12.150  12.194	11.875	11.863	11.892
   11555.  8.17719 -2.684786   1.006727000 0.10E+01  10.974  11.012  11.162  11.192  12.144  12.102  12.065  11.995  12.037  11.999  12.001  12.168  12.189  11.972  11.988  12.093  12.125  -0.541  11.534  12.159  12.019  12.017  12.006  12.139  12.138  12.231  12.273	12.056	12.065	12.032
   10477.  8.18042 -2.858201   1.170968700 0.10E+01  11.527  11.459  11.515  11.536  12.463  12.409  12.359  12.275  12.320  12.265  12.248  12.383  12.393  12.180  12.188  12.266  12.291  -0.391  11.866  12.474  12.303  12.259  12.205  12.288  12.258  12.345  12.383	12.320	12.355	12.239
    9470.  8.18326 -3.036556   1.385776300 0.10E+01  12.164  11.969  11.914  11.924  12.850  12.784  12.724  12.625  12.670  12.592  12.555  12.623  12.621  12.443  12.439  12.477  12.498  -0.297  12.241  12.856  12.654  12.561  12.457  12.468  12.397  12.479  12.514	12.644	12.711	12.500
    8434.  8.18641 -3.240912   1.712058100 0.10E+01  12.992  12.618  12.421  12.417  13.331  13.249  13.179  13.053  13.101  12.996  12.935  12.905  12.909  12.773  12.755  12.751  12.778  -0.218  12.716  13.332  13.086  12.934  12.774  12.688  12.566  12.638  12.663	13.043	13.151	12.825
    7428.  8.18970 -3.464891   2.245127400 0.10E+01  14.137  13.464  13.069  13.048  13.897  13.785  13.697  13.532  13.590  13.453  13.363  13.237  13.269  13.143  13.114  13.071  13.104  -0.143  13.320  13.889  13.572  13.355  13.131  12.937  12.757  12.808  12.813	13.493	13.654	13.193
    6425.  8.19345 -3.720572   3.449883300 0.10E+01  15.953  14.744  14.015  13.969  14.636  14.465  14.343  14.116  14.196  14.013  13.882  13.677  13.742  13.581  13.538  13.454  13.488  -0.098  14.192  14.615  14.166  13.861  13.553  13.239  13.001  13.010  12.973	14.039	14.282	13.629
    5925.  8.19589 -3.863802   4.391074600 0.10E+01  17.213  15.665  14.663  14.597  15.111  14.896  14.746  14.478  14.574  14.360  14.202  13.965  14.044  13.848  13.796  13.687  13.722  -0.109  14.781  15.081  14.535  14.173  13.809  13.426  13.158  13.139  13.072	14.373	14.674	13.895
    5417.  8.19918 -4.022854   5.941983600 0.10E+01  18.775  16.916  15.508  15.410  15.682  15.410  15.227  14.910  15.025  14.773  14.586  14.321  14.408  14.167  14.105  13.966  14.002  -0.152  15.525  15.640  14.975  14.546  14.116  13.650  13.345  13.298  13.196	14.768	15.139	14.214
    4912.  8.20307 -4.196595   8.875335800 0.10E+01  21.036  18.797  16.789  16.656  16.391  16.028  15.797  15.424  15.562  15.266  15.047  14.758  14.849  14.554  14.479  14.304  14.343  -0.240  16.590  16.331  15.498  14.994  14.489  13.917  13.587  13.550  13.381	15.237	15.695	14.602
    4659.  8.20459 -4.290266  10.399237800 0.10E+01  22.215  19.843  17.573  17.436  16.800  16.368  16.104  15.698  15.848  15.526  15.290  14.989  15.081  14.758  14.676  14.482  14.522  -0.285  17.248  16.725  15.777  15.230  14.685  14.064  13.776  13.778  13.541	15.485	15.994	14.806
    4405.  8.20574 -4.388770  11.698920600 0.10E+01  23.318  20.865  18.371  18.237  17.226  16.715  16.410  15.968  16.132  15.783  15.530  15.217  15.309  14.959  14.870  14.659  14.698  -0.314  17.935  17.134  16.052  15.462  14.878  14.228  14.063  14.099  13.770	15.727	16.289	15.007
    3900.  8.20732 -4.601869  13.827705400 0.10E+01  24.493  22.603  19.814  19.690  18.050  17.375  16.997  16.474  16.668  16.262  15.973  15.640  15.732  15.343  15.245  15.017  15.047  -0.299  19.193  17.917  16.569  15.894  15.252  14.743  14.918  15.092  14.392	16.177	16.832	15.389
    3637.  8.20785 -4.723739  14.790750600 0.10E+01  24.878  23.334  20.459  20.346  18.420  17.677  17.274  16.711  16.919  16.485  16.180  15.838  15.930  15.547  15.450  15.233  15.246  -0.236  19.746  18.267  16.811  16.101  15.456  15.151  15.454  15.721  14.743	16.396	17.080	15.592
    3385.  8.20826 -4.848566  15.684121200 0.10E+01  25.206  23.952  21.031  20.930  18.750  17.950  17.529  16.930  17.150  16.695  16.377  16.027  16.119  15.780  15.688  15.497  15.485  -0.147  20.239  18.580  17.035  16.305  15.696  15.621  16.000  16.334  15.071	16.621	17.306	15.821
    3126.  8.20860 -4.987273  16.603652800 0.10E+01  25.540  24.523  21.572  21.484  19.064  18.215  17.779  17.149  17.379  16.910  16.581  16.223  16.315  16.087  16.004  15.845  15.805  -0.023  20.702  18.879  17.258  16.530  16.019  16.171  16.578  16.978  15.392	16.882	17.531	16.116
    2863.  8.20888 -5.140010  17.528295300 0.10E+01  25.900  25.071  22.088  22.013  19.373  18.482  18.036  17.379  17.617  17.146  16.810  16.445  16.537  16.498  16.426  16.288  16.222   0.126  21.151  19.175  17.491  16.792  16.458  16.767  17.137  17.637  15.697	17.195	17.766	16.504
    2611.  8.20910 -5.300410  18.398808100 0.10E+01  26.259  25.531  22.513  22.455  19.645  18.731  18.281  17.603  17.848  17.387  17.048  16.679  16.773  17.008  16.945  16.815  16.719   0.299  21.505  19.439  17.718  17.073  17.002  17.440  17.729  18.380  16.024	17.538	17.998	16.967
    2504.  8.20919 -5.373564  18.771376600 0.10E+01  26.428  25.740  22.702  22.648  19.776  18.848  18.395  17.708  17.955  17.504  17.164  16.795  16.890  17.271  17.210  17.077  16.968   0.375  21.674  19.565  17.825  17.208  17.282  17.749  17.975  18.687  16.158	17.703	18.109	17.200
