
    Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L
    8381.  7.86307 -3.056752  11.986623400 0.10E+01  12.558  12.187  11.985  11.981  12.865  12.780  12.709  12.582  12.631  12.525  12.463  12.433  12.437  12.300  12.282  12.279  12.305  -0.207  12.277  12.864  12.615  12.462  12.301  12.210  12.087  12.157  12.181
    7348.  7.86944 -3.291563  12.322239900 0.10E+01  13.737  13.066  12.663  12.641  13.469  13.352  13.263  13.095  13.154  13.014  12.921  12.791  12.824  12.697  12.666  12.621  12.653  -0.139  12.910  13.460  13.134  12.912  12.683  12.478  12.293  12.341  12.346
    6348.  7.87635 -3.552614  12.840511500 0.10E+01  15.573  14.361  13.627  13.580  14.232  14.057  13.932  13.700  13.782  13.596  13.461  13.252  13.319  13.153  13.109  13.021  13.056  -0.103  13.800  14.211  13.751  13.440  13.123  12.795  12.547  12.554  12.517
    5834.  7.88099 -3.703913  13.269132300 0.10E+01  16.883  15.324  14.317  14.250  14.743  14.520  14.365  14.089  14.188  13.968  13.806  13.564  13.644  13.440  13.386  13.272  13.307  -0.121  14.429  14.711  14.147  13.775  13.399  12.997  12.718  12.695  12.625
    5322.  7.88765 -3.870092  13.913244900 0.10E+01  18.711  16.710  15.219  15.117  15.352  15.069  14.880  14.552  14.672  14.412  14.219  13.949  14.037  13.785  13.721  13.574  13.611  -0.178  15.221  15.308  14.619  14.176  13.732  13.238  12.921  12.868  12.762
    4809.  7.89579 -4.054504  15.966549200 0.10E+01  20.883  18.617  16.566  16.431  16.110  15.731  15.493  15.105  15.248  14.939  14.713  14.418  14.509  14.200  14.122  13.937  13.976  -0.278  16.348  16.046  15.181  14.656  14.131  13.528  13.189  13.147  12.967
    4546.  7.89926 -4.155796  17.598294500 0.10E+01  22.141  19.741  17.416  17.280  16.555  16.102  15.827  15.403  15.560  15.224  14.979  14.671  14.763  14.423  14.338  14.132  14.173  -0.329  17.064  16.475  15.484  14.914  14.346  13.691  13.406  13.406  13.150
    4293.  7.90180 -4.257769  19.181852600 0.10E+01  23.173  20.766  18.226  18.093  16.992  16.456  16.141  15.680  15.851  15.486  15.223  14.905  14.997  14.629  14.537  14.314  14.355  -0.356  17.764  16.894  15.766  15.151  14.544  13.866  13.716  13.748  13.395
    3997.  7.90392 -4.383652  20.819149100 0.10E+01  23.891  21.834  19.108  18.981  17.488  16.852  16.491  15.983  16.171  15.773  15.489  15.158  15.250  14.857  14.758  14.523  14.559  -0.350  18.532  17.365  16.075  15.410  14.765  14.147  14.211  14.310  13.762
    3785.  7.90504 -4.479814  21.856319500 0.10E+01  24.260  22.522  19.692  19.572  17.815  17.113  16.726  16.183  16.384  15.962  15.664  15.325  15.417  15.016  14.915  14.681  14.709  -0.315  19.031  17.674  16.281  15.581  14.922  14.433  14.641  14.838  14.063
    3518.  7.90623 -4.608155  23.029139600 0.10E+01  24.633  23.254  20.355  20.247  18.195  17.422  17.010  16.425  16.640  16.190  15.876  15.528  15.620  15.235  15.136  14.918  14.925  -0.241  19.601  18.033  16.527  15.795  15.142  14.882  15.201  15.483  14.419
    3247.  7.90716 -4.747876  24.228836100 0.10E+01  24.980  23.901  20.968  20.873  18.548  17.712  17.281  16.656  16.884  16.413  16.085  15.728  15.820  15.506  15.414  15.229  15.206  -0.127  20.130  18.367  16.764  16.017  15.424  15.426  15.814  16.174  14.777
    2984.  7.90789 -4.895802  25.499256500 0.10E+01  25.329  24.492  21.529  21.450  18.873  17.983  17.538  16.877  17.117  16.633  16.295  15.931  16.022  15.855  15.775  15.621  15.569   0.016  20.613  18.674  16.989  16.255  15.796  16.012  16.405  16.851  15.103
    2730.  7.90848 -5.050493  26.846220300 0.10E+01  25.687  24.993  22.022  21.955  19.177  18.240  17.783  17.094  17.342  16.860  16.514  16.144  16.236  16.302  16.233  16.097  16.018   0.183  21.043  18.963  17.209  16.514  16.274  16.637  16.975  17.537  15.418
    2515.  7.90890 -5.193648  28.126406100 0.10E+01  26.013  25.411  22.447  22.397  19.423  18.457  17.995  17.287  17.541  17.074  16.727  16.354  16.448  16.788  16.725  16.588  16.484   0.344  21.405  19.200  17.406  16.765  16.793  17.230  17.493  18.203  15.707
